X,Y,location,confidence,LL,Input,Region
35.30994,32.60115, Afula IL ,"0.3","32.60115,35.30994",Afula,IL
35.2327,31.26287, Arad IL ,"0.3","31.26287,35.2327",Arad,IL
35.1797,32.10524, Ariel IL ,"0.3","32.10524,35.1797",Ariel,IL
34.66736,31.78476, Ashdod IL ,"0.9","31.78476,34.66736",Ashdod,IL
34.57685,31.67302, Ashkelon IL ,"0.9","31.67302,34.57685",Ashkelon,IL
34.78657,31.25269, Beer Sheva IL ,"0.9","31.25269,34.78657",Beer Sheva,IL
35.50022,32.49691, Beit Shean IL ,"0.9","32.49691,35.50022",Beit Shean,IL
34.83707,32.08715, Bnei Brak IL ,"0.9","32.08715,34.83707",Bnei Brak,IL
35.28847,32.91317, Carmiel IL ,"0.9","32.91317,35.28847",Carmiel,IL
35.02719,31.06086, Dimona IL ,"0.9","31.06086,35.02719",Dimona,IL
34.93014,29.567, Eilat IL ,"0.333333333333333","29.567,34.93014",Eilat,IL
34.88002,32.27174, Even Yehuda IL ,"0.9","32.27174,34.88002",Even Yehuda,IL
34.80593,32.05939, Givatayim IL ,"0.9","32.05939,34.80593",Givatayim,IL
34.93205,32.46954, Hadera IL ,"0.9","32.46954,34.93205",Hadera,IL
35.00707,32.777, Haifa IL ,"0.3","32.777,35.00707",Haifa,IL
34.82363,32.17451, Herzliya IL ,"0.9","32.17451,34.82363",Herzliya,IL
34.8904,32.15623, Hod Hasharon IL ,"0.9","32.15623,34.8904",Hod Hasharon,IL
34.77835,32.00954, Holon IL ,"0.3","32.00954,34.77835",Holon,IL
35.18883,31.77506, Jerusalem IL ,"0.9","31.77506,35.18883",Jerusalem,IL
34.98644,32.47989, Karkur IL ,"0.9","32.47989,34.98644",Karkur,IL
34.9272,32.18474, Kfar Saba IL ,"0.9","32.18474,34.9272",Kfar Saba,IL
35.11566,32.80522, Kiryat Ata IL ,"0.9","32.80522,35.11566",Kiryat Ata,IL
35.09107,32.84146, Kiryat Bialik IL ,"0.9","32.84146,35.09107",Kiryat Bialik,IL
34.76482,31.60385, Kiryat Gat IL ,"0.9","31.60385,34.76482",Kiryat Gat,IL
34.73955,31.72898, Kiryat Malachi IL ,"0.9","31.72898,34.73955",Kiryat Malachi,IL
35.07891,32.82414, Kiryat Motzkin IL ,"0.9","32.82414,35.07891",Kiryat Motzkin,IL
34.85326,32.0555, Kiryat Ono IL ,"0.9","32.0555,34.85326",Kiryat Ono,IL
35.57329,33.20775, Kiryat Shmona IL ,"0.9","33.20775,35.57329",Kiryat Shmona,IL
35.13153,32.71918, Kiryat Tivon IL ,"0.9","32.71918,35.13153",Kiryat Tivon,IL
35.0784,32.85105, Kiryat Yam IL ,"0.9","32.85105,35.0784",Kiryat Yam,IL
34.90793,31.95169, Lod IL ,"0.3","31.95169,34.90793",Lod,IL
35.27044,33.0225, Maalot Tarshiha IL ,"0.9","33.0225,35.27044",Maalot Tarshiha,IL
35.0986,33.00244, Nahariya IL ,"0.9","33.00244,35.0986",Nahariya,IL
34.87498,32.3121, Netanya IL ,"0.9","32.3121,34.87498",Netanya,IL
34.57607,31.42577, Netivot IL ,"0.9","31.42577,34.57607",Netivot,IL
34.92119,32.5, Or Akiva IL ,"0.9","32.5,34.92119",Or Akiva,IL
34.872,32.08049, Petah Tikva IL ,"0.9","32.08049,34.872",Petah Tikva,IL
34.86736,32.18444, Raanana IL ,"0.9","32.18444,34.86736",Raanana,IL
34.81641,32.08347, Ramat Gan IL ,"0.9","32.08347,34.81641",Ramat Gan,IL
34.83417,32.12778, Ramat Hasharon IL ,"0.9","32.12778,34.83417",Ramat Hasharon,IL
34.81146,31.88275, Rehovot IL ,"0.9","31.88275,34.81146",Rehovot,IL
34.77329,31.98216, Rishon Lezion IL ,"0.9","31.98216,34.77329",Rishon Lezion,IL
34.96834,32.09368, Rosh Haayin IL ,"0.9","32.09368,34.96834",Rosh Haayin,IL
35.50149,32.97663, Safed IL ,"0.3","32.97663,35.50149",Safed,IL
34.7513,32.04333,Jaffa Tel Aviv IL ,"0.4","32.04333,34.7513",Tel Aviv-Jaffa,IL
35.51937,32.79301, Tiberias IL ,"0.9","32.79301,35.51937",Tiberias,IL
34.73917,31.87566, Yavne IL ,"0.3","31.87566,34.73917",Yavne,IL
